NR,DATA,ID_AP,VALOARE
7,2024-07-01T00:00:00,7,90
2,2024-02-01T00:00:00,2,75
501,2024-01-05T00:00:00,5,160
502,2024-02-05T00:00:00,5,140
503,2024-03-05T00:00:00,5,180
3,2024-03-01T00:00:00,3,40
2002,2024-10-01T00:00:00,14,250
201,2024-01-20T00:00:00,2,180
202,2024-02-20T00:00:00,2,160
203,2024-03-20T00:00:00,2,200
401,2024-01-30T00:00:00,4,240
403,2024-03-30T00:00:00,4,200
8,2024-08-01T00:00:00,8,60
101,2024-01-15T00:00:00,1,200
102,2024-02-15T00:00:00,1,180
103,2024-03-15T00:00:00,1,240
9,2024-09-01T00:00:00,9,75
14,2024-10-01T00:00:00,4,150
2001,2024-10-01T00:00:00,10,300
6,2024-06-01T00:00:00,6,125
5,2024-05-01T00:00:00,5,60
4,2024-04-01T00:00:00,4,100
301,2024-01-25T00:00:00,3,160
302,2024-02-25T00:00:00,3,140
303,2024-03-25T00:00:00,3,200
1,2024-01-01T00:00:00,1,50
1104,2024-10-01T00:00:00,11,220
