NR,DATA,ID_AP,VALOARE,NATURA_EXCEPTIEI,DIFERENTA_VALORILOR
1104,2024-10-01T00:00:00,11,220,Restant,20
2,2024-02-01T00:00:00,2,75,Avans,105
202,2024-02-20T00:00:00,2,160,Avans,20
203,2024-03-20T00:00:00,2,200,Restant,20
403,2024-03-30T00:00:00,4,200,Avans,40
14,2024-10-01T00:00:00,4,150,Avans,90
4,2024-04-01T00:00:00,4,100,Avans,140
3,2024-03-01T00:00:00,3,40,Avans,120
302,2024-02-25T00:00:00,3,140,Avans,20
303,2024-03-25T00:00:00,3,200,Restant,40
502,2024-02-05T00:00:00,5,140,Avans,20
503,2024-03-05T00:00:00,5,180,Restant,20
5,2024-05-01T00:00:00,5,60,Avans,100
2001,2024-10-01T00:00:00,10,300,Restant,100
102,2024-02-15T00:00:00,1,180,Restant,145
103,2024-03-15T00:00:00,1,240,Restant,205
8,2024-08-01T00:00:00,8,60,Avans,120
6,2024-06-01T00:00:00,6,125,Avans,115
7,2024-07-01T00:00:00,7,90,Avans,70
9,2024-09-01T00:00:00,9,75,Avans,125
