ID_AP,AN,LUNA,NR_PERS,CANTITATE,VALOARE,PRET_APA
11,2024,3,3,50,200,4
31,2024,1,3,0,0,30
33,2024,1,1,0,0,30
2,2024,3,4,60,250,4
1,2024,4,3,55,220,4
1,2024,8,4,65,260,4
2,2024,1,3,45,180,4
2,2024,2,3,40,160,4
2,2024,4,2,45,180,4
2,2024,5,3,55,220,4
2,2024,6,3,60,240,4
2,2024,7,4,65,260,4
2,2024,8,3,55,220,4
2,2024,9,3,50,200,4
2,2024,10,4,70,280,4
2,2024,11,4,60,240,4
2,2024,12,3,45,180,4
4,2024,1,4,60,240,4
4,2024,2,4,55,220,4
4,2024,4,4,65,260,4
4,2024,5,4,60,240,4
4,2024,6,4,70,280,4
4,2024,7,4,60,240,4
4,2024,8,3,55,220,4
4,2024,10,4,65,260,4
4,2024,11,4,70,280,4
4,2024,12,4,60,240,4
3,2024,1,2,40,160,4
3,2024,2,2,35,140,4
3,2024,4,3,55,220,4
3,2024,5,3,60,240,4
3,2024,6,4,65,260,4
3,2024,7,3,55,220,4
3,2024,8,3,50,200,4
3,2024,9,2,40,160,4
3,2024,10,2,35,140,4
3,2024,11,3,50,200,4
3,2024,12,3,45,180,4
5,2024,1,2,40,160,4
5,2024,2,2,35,140,4
5,2024,4,3,50,200,4
5,2024,5,3,55,220,4
5,2024,6,4,65,260,4
5,2024,7,4,60,240,4
5,2024,8,4,70,280,4
5,2024,9,4,60,240,4
5,2024,10,3,55,220,4
5,2024,11,3,50,200,4
5,2024,12,3,45,180,4
10,2024,1,3,50,200,4
10,2024,2,3,60,240,4
10,2024,3,4,55,220,4
10,2024,4,4,65,260,4
10,2024,5,4,70,280,4
10,2024,6,4,60,240,4
10,2024,7,3,55,220,4
10,2024,8,3,50,200,4
10,2024,9,4,65,260,4
1,2024,1,0,50,35,4
1,2024,2,0,45,35,4
1,2024,7,3,55,220,4
1,2024,9,3,50,200,4
1,2024,10,4,70,280,4
1,2024,11,3,55,220,4
1,2024,12,4,75,300,4
1,2024,6,2,40,160,4
11,2024,4,3,50,200,4
11,2024,5,3,55,220,4
11,2024,6,4,65,260,4
11,2024,8,4,70,280,4
11,2024,9,4,60,240,4
4,2024,9,3,23,150,6.23
8,2024,1,3,50,180,3.6
1,2024,3,3,50,200,4
3,2024,3,2,40,160,4
4,2024,3,3,45,180,4
5,2024,3,3,50,200,4
6,2024,3,4,60,240,4
7,2024,3,2,40,160,4
9,2024,2,4,60,200,3.33
12,2024,4,4,55,220,4
1,2024,5,3,50,190,3.8
101,2024,10,3,15,200.5,13.37
